,old_name,new_name,old_name_code,new_name_code
0,Introducción a Ciencias de la Computación II,Estructuras de Datos,0339,1222
1,Análisis Lógico,Lógica Computacional,0415,1427
2,Procesos Estocásticos,Procesos Estocásticos I,1613,0630
3,Introducción a Ciencias de la Computación I,Introducción a Ciencias de la Computación,0224,1125
4,Teoría de la Computación,Autómatas y Lenguajes Formales,0576,1425
5,Lenguajes de Programación y sus Paradigmas,Lenguajes de Programación,0607,1536
6,Economía II,Temas Selectos de Economía,1710,0863
7,Análisis Numérico I,Análisis Numérico,0036,1707
8,Estadística III,Modelos de Supervivencia y de Series de Tiempo,1712,1739
9,Matemáticas Discretas,Estructuras Discretas,0416,1123
10,Introducción a la Investigación de Operaciones,Investigación de Operaciones,0362,1506
11,Procesos Paralelos y Distribuidos,Algoritmos Paralelos,0806,0657
12,Estadística II,Modelos no Paramétricos y de Regresión,0399,1639
13,Sistemas de Bases de Datos,Fundamentos de Bases de Datos,0606,1534
14,Teoría de Juegos I,Teoría de Juegos en Economía,0946,1056
15,Arquitectura de Computadoras,Organización y Arquitectura de Computadoras,0605,1428
16,Economía I,Economía,1609,1540
17,Análisis de Redes,Teoría de Redes,0077,0442
18,Grandes Bases de Datos,Almacenes y Minería de Datos,0824,0658
19,Algoritmos Genéticos,Cómputo Evolutivo,0816,0664
20,Diseño de interfaces,Diseño de Interfaces de Usuario,0822,0665
21,Estadística I,Inferencia Estadística,0398,1541
