CourseID,PlanID,CourseType
7,101,Obligatoria
91,101,Obligatoria
244,101,Obligatoria
1135,101,Obligatoria
1308,101,Obligatoria
8,101,Obligatoria
92,101,Obligatoria
1208,101,Obligatoria
245,101,Obligatoria
1235,101,Obligatoria
1236,101,Obligatoria
5,101,Obligatoria
93,101,Obligatoria
1336,101,Obligatoria
1335,101,Obligatoria
1108,101,Obligatoria
625,101,Obligatoria
94,101,Obligatoria
162,101,Obligatoria
1436,101,Obligatoria
1506,101,Obligatoria
1408,101,Obligatoria
626,101,Obligatoria
9,101,Obligatoria
1540,101,Obligatoria
1541,101,Obligatoria
1508,101,Obligatoria
1539,101,Obligatoria
630,101,Obligatoria
1707,101,Obligatoria
1636,101,Obligatoria
1640,101,Obligatoria
1637,101,Obligatoria
1638,101,Obligatoria
1639,101,Obligatoria
1738,101,Obligatoria
1740,101,Obligatoria
1739,101,Obligatoria
1708,101,Obligatoria
1832,101,Obligatoria
1808,101,Obligatoria
1807,101,Obligatoria
1817,101,Optativa
1057,101,Optativa
1050,101,Optativa
6,101,Optativa
879,101,Optativa
874,101,Optativa
10,101,Optativa
11,101,Optativa
12,101,Optativa
1815,101,Optativa
1055,101,Optativa
143,101,Optativa
1805,101,Optativa
1049,101,Optativa
369,101,Optativa
1051,101,Optativa
858,101,Optativa
1814,101,Optativa
1706,101,Optativa
1063,101,Optativa
163,101,Optativa
164,101,Optativa
411,101,Optativa
1053,101,Optativa
1810,101,Optativa
859,101,Optativa
1606,101,Optativa
1048,101,Optativa
1047,101,Optativa
1605,101,Optativa
445,101,Optativa
446,101,Optativa
447,101,Optativa
1054,101,Optativa
860,101,Optativa
861,101,Optativa
862,101,Optativa
932,101,Optativa
933,101,Optativa
934,101,Optativa
936,101,Optativa
891,101,Optativa
1813,101,Optativa
631,101,Optativa
865,101,Optativa
632,101,Optativa
633,101,Optativa
621,101,Optativa
634,101,Optativa
1714,101,Optativa
866,101,Optativa
867,101,Optativa
955,101,Optativa
956,101,Optativa
868,101,Optativa
869,101,Optativa
870,101,Optativa
871,101,Optativa
872,101,Optativa
25,101,Optativa
873,101,Optativa
1089,101,Optativa
863,101,Optativa
864,101,Optativa
1056,101,Optativa
947,101,Optativa
929,101,Optativa
442,101,Optativa
765,101,Optativa
766,101,Optativa
767,101,Optativa
7,104,Obligatoria
1123,104,Obligatoria
1124,104,Obligatoria
1125,104,Obligatoria
1126,104,Obligatoria
8,104,Obligatoria
1222,104,Obligatoria
422,104,Obligatoria
1223,104,Obligatoria
1226,104,Obligatoria
5,104,Obligatoria
1322,104,Obligatoria
1326,104,Obligatoria
1323,104,Obligatoria
625,104,Obligatoria
1425,104,Obligatoria
1426,104,Obligatoria
1427,104,Obligatoria
1429,104,Obligatoria
1428,104,Obligatoria
1532,104,Obligatoria
1533,104,Obligatoria
1534,104,Obligatoria
1535,104,Obligatoria
1536,104,Obligatoria
575,104,Obligatoria
608,104,Obligatoria
713,104,Obligatoria
817,104,Obligatoria
269,104,Obligatoria
714,104,Obligatoria
1827,104,Obligatoria
1828,104,Obligatoria
1829,104,Obligatoria
654,104,Optativa
655,104,Optativa
6,104,Optativa
1,104,Optativa
2,104,Optativa
656,104,Optativa
657,104,Optativa
658,104,Optativa
801,104,Optativa
10,104,Optativa
1707,104,Optativa
659,104,Optativa
660,104,Optativa
661,104,Optativa
1049,104,Optativa
662,104,Optativa
663,104,Optativa
664,104,Optativa
665,104,Optativa
666,104,Optativa
398,104,Optativa
399,104,Optativa
2041,104,Optativa
667,104,Optativa
259,104,Optativa
249,104,Optativa
803,104,Optativa
668,104,Optativa
669,104,Optativa
351,104,Optativa
1048,104,Optativa
1506,104,Optativa
1047,104,Optativa
670,104,Optativa
819,104,Optativa
671,104,Optativa
446,104,Optativa
447,104,Optativa
672,104,Optativa
673,104,Optativa
291,104,Optativa
932,104,Optativa
933,104,Optativa
934,104,Optativa
936,104,Optativa
674,104,Optativa
626,104,Optativa
805,104,Optativa
1613,104,Optativa
676,104,Optativa
675,104,Optativa
632,104,Optativa
633,104,Optativa
621,104,Optativa
634,104,Optativa
677,104,Optativa
678,104,Optativa
679,104,Optativa
771,104,Optativa
772,104,Optativa
773,104,Optativa
774,104,Optativa
781,104,Optativa
782,104,Optativa
820,104,Optativa
903,104,Optativa
814,104,Optativa
957,104,Optativa
958,104,Optativa
783,104,Optativa
784,104,Optativa
785,104,Optativa
786,104,Optativa
787,104,Optativa
826,104,Optativa
788,104,Optativa
789,104,Optativa
790,104,Optativa
1089,104,Optativa
791,104,Optativa
759,104,Optativa
792,104,Optativa
793,104,Optativa
277,104,Optativa
760,104,Optativa
779,104,Optativa
764,104,Optativa
777,104,Optativa
442,104,Optativa
765,104,Optativa
840,104,Optativa
794,104,Optativa
809,104,Optativa
100,106,Obligatoria
91,106,Obligatoria
102,106,Obligatoria
104,106,Obligatoria
244,106,Obligatoria
92,106,Obligatoria
245,106,Obligatoria
227,106,Obligatoria
228,106,Obligatoria
5,106,Obligatoria
93,106,Obligatoria
302,106,Obligatoria
303,106,Obligatoria
94,106,Obligatoria
162,106,Obligatoria
419,106,Obligatoria
420,106,Obligatoria
582,106,Obligatoria
583,106,Obligatoria
584,106,Obligatoria
840,106,Obligatoria
610,106,Obligatoria
611,106,Obligatoria
718,106,Obligatoria
612,106,Obligatoria
609,106,Obligatoria
715,106,Obligatoria
716,106,Obligatoria
717,106,Obligatoria
827,106,Obligatoria
828,106,Obligatoria
829,106,Obligatoria
830,106,Obligatoria
900,106,Obligatoria
901,106,Obligatoria
2030,106,Optativa
304,106,Optativa
6,106,Optativa
1,106,Optativa
2,106,Optativa
8,106,Optativa
26,106,Optativa
27,106,Optativa
9,106,Optativa
10,106,Optativa
11,106,Optativa
12,106,Optativa
313,106,Optativa
265,106,Optativa
266,106,Optativa
267,106,Optativa
268,106,Optativa
2003,106,Optativa
2002,106,Optativa
1099,106,Optativa
2025,106,Optativa
505,106,Optativa
145,106,Optativa
83,106,Optativa
85,106,Optativa
909,106,Optativa
1049,106,Optativa
305,106,Optativa
118,106,Optativa
2024,106,Optativa
2011,106,Optativa
2018,106,Optativa
2052,106,Optativa
163,106,Optativa
164,106,Optativa
165,106,Optativa
183,106,Optativa
2068,106,Optativa
156,106,Optativa
157,106,Optativa
2000,106,Optativa
2087,106,Optativa
2046,106,Optativa
2047,106,Optativa
2040,106,Optativa
2041,106,Optativa
2086,106,Optativa
910,106,Optativa
2012,106,Optativa
1095,106,Optativa
258,106,Optativa
1094,106,Optativa
911,106,Optativa
912,106,Optativa
146,106,Optativa
913,106,Optativa
914,106,Optativa
314,106,Optativa
1096,106,Optativa
246,106,Optativa
249,106,Optativa
250,106,Optativa
252,106,Optativa
253,106,Optativa
2023,106,Optativa
2042,106,Optativa
2043,106,Optativa
306,106,Optativa
2029,106,Optativa
144,106,Optativa
292,106,Optativa
2084,106,Optativa
2063,106,Optativa
2064,106,Optativa
2051,106,Optativa
2014,106,Optativa
2058,106,Optativa
315,106,Optativa
2015,106,Optativa
2077,106,Optativa
2007,106,Optativa
260,106,Optativa
155,106,Optativa
1048,106,Optativa
295,106,Optativa
915,106,Optativa
356,106,Optativa
2078,106,Optativa
1047,106,Optativa
445,106,Optativa
446,106,Optativa
307,106,Optativa
300,106,Optativa
2001,106,Optativa
916,106,Optativa
2069,106,Optativa
2017,106,Optativa
2019,106,Optativa
152,106,Optativa
151,106,Optativa
2073,106,Optativa
291,106,Optativa
932,106,Optativa
933,106,Optativa
934,106,Optativa
936,106,Optativa
2080,106,Optativa
917,106,Optativa
2085,106,Optativa
308,106,Optativa
2053,106,Optativa
705,106,Optativa
743,106,Optativa
983,106,Optativa
709,106,Optativa
902,106,Optativa
750,106,Optativa
736,106,Optativa
751,106,Optativa
988,106,Optativa
309,106,Optativa
721,106,Optativa
2035,106,Optativa
2013,106,Optativa
316,106,Optativa
261,106,Optativa
2054,106,Optativa
2032,106,Optativa
2033,106,Optativa
2034,106,Optativa
2004,106,Optativa
2005,106,Optativa
2006,106,Optativa
153,106,Optativa
154,106,Optativa
2020,106,Optativa
2021,106,Optativa
2022,106,Optativa
310,106,Optativa
311,106,Optativa
158,106,Optativa
159,106,Optativa
178,106,Optativa
2044,106,Optativa
293,106,Optativa
294,106,Optativa
2074,106,Optativa
2075,106,Optativa
2076,106,Optativa
2088,106,Optativa
2089,106,Optativa
2090,106,Optativa
2060,106,Optativa
2065,106,Optativa
2066,106,Optativa
2067,106,Optativa
1097,106,Optativa
1098,106,Optativa
2055,106,Optativa
2056,106,Optativa
2057,106,Optativa
2037,106,Optativa
2038,106,Optativa
2039,106,Optativa
2061,106,Optativa
317,106,Optativa
2045,106,Optativa
2070,106,Optativa
2071,106,Optativa
2081,106,Optativa
2082,106,Optativa
2083,106,Optativa
2026,106,Optativa
2028,106,Optativa
262,106,Optativa
263,106,Optativa
2048,106,Optativa
2049,106,Optativa
2050,106,Optativa
764,106,Optativa
765,106,Optativa
2036,106,Optativa
841,106,Optativa
842,106,Optativa
29,106,Optativa
780,106,Optativa
223,106,Optativa
363,106,Optativa
581,106,Optativa
686,106,Optativa
580,106,Optativa
7,122,Obligatoria
91,122,Obligatoria
244,122,Obligatoria
249,122,Obligatoria
8,122,Obligatoria
92,122,Obligatoria
245,122,Obligatoria
5,122,Obligatoria
93,122,Obligatoria
6,122,Obligatoria
94,122,Obligatoria
162,122,Obligatoria
1,122,Obligatoria
9,122,Obligatoria
840,122,Obligatoria
10,122,Obligatoria
74,122,Optativa
14,122,Optativa
2,122,Optativa
3,122,Optativa
4,122,Optativa
816,122,Optativa
414,122,Optativa
26,122,Optativa
27,122,Optativa
39,122,Optativa
77,122,Optativa
78,122,Optativa
415,122,Optativa
11,122,Optativa
12,122,Optativa
1815,122,Optativa
1707,122,Optativa
36,122,Optativa
37,122,Optativa
605,122,Optativa
76,122,Optativa
21,122,Optativa
505,122,Optativa
19,122,Optativa
20,122,Optativa
75,122,Optativa
275,122,Optativa
276,122,Optativa
83,122,Optativa
85,122,Optativa
1049,122,Optativa
86,122,Optativa
269,122,Optativa
118,122,Optativa
119,122,Optativa
88,122,Optativa
271,122,Optativa
122,122,Optativa
124,122,Optativa
121,122,Optativa
827,122,Optativa
545,122,Optativa
822,122,Optativa
574,122,Optativa
130,122,Optativa
131,122,Optativa
409,122,Optativa
1706,122,Optativa
1063,122,Optativa
1609,122,Optativa
1710,122,Optativa
407,122,Optativa
408,122,Optativa
163,122,Optativa
164,122,Optativa
165,122,Optativa
183,122,Optativa
395,122,Optativa
419,122,Optativa
609,122,Optativa
168,122,Optativa
177,122,Optativa
185,122,Optativa
410,122,Optativa
411,122,Optativa
398,122,Optativa
399,122,Optativa
1712,122,Optativa
405,122,Optativa
406,122,Optativa
302,122,Optativa
239,122,Optativa
203,122,Optativa
202,122,Optativa
201,122,Optativa
204,122,Optativa
715,122,Optativa
829,122,Optativa
205,122,Optativa
206,122,Optativa
207,122,Optativa
208,122,Optativa
211,122,Optativa
210,122,Optativa
209,122,Optativa
569,122,Optativa
217,122,Optativa
242,122,Optativa
243,122,Optativa
246,122,Optativa
247,122,Optativa
248,122,Optativa
250,122,Optativa
251,122,Optativa
252,122,Optativa
253,122,Optativa
298,122,Optativa
299,122,Optativa
803,122,Optativa
422,122,Optativa
824,122,Optativa
282,122,Optativa
286,122,Optativa
287,122,Optativa
289,122,Optativa
575,122,Optativa
352,122,Optativa
608,122,Optativa
224,122,Optativa
339,122,Optativa
348,122,Optativa
582,122,Optativa
325,122,Optativa
327,122,Optativa
272,122,Optativa
362,122,Optativa
342,122,Optativa
351,122,Optativa
344,122,Optativa
1048,122,Optativa
356,122,Optativa
1506,122,Optativa
456,122,Optativa
440,122,Optativa
441,122,Optativa
1047,122,Optativa
453,122,Optativa
454,122,Optativa
607,122,Optativa
819,122,Optativa
445,122,Optativa
446,122,Optativa
447,122,Optativa
811,122,Optativa
481,122,Optativa
610,122,Optativa
416,122,Optativa
889,122,Optativa
492,122,Optativa
717,122,Optativa
228,122,Optativa
501,122,Optativa
890,122,Optativa
291,122,Optativa
932,122,Optativa
933,122,Optativa
934,122,Optativa
936,122,Optativa
891,122,Optativa
560,122,Optativa
584,122,Optativa
561,122,Optativa
579,122,Optativa
625,122,Optativa
626,122,Optativa
805,122,Optativa
630,122,Optativa
631,122,Optativa
806,122,Optativa
602,122,Optativa
629,122,Optativa
632,122,Optativa
633,122,Optativa
621,122,Optativa
634,122,Optativa
714,122,Optativa
681,122,Optativa
820,122,Optativa
742,122,Optativa
705,122,Optativa
975,122,Optativa
743,122,Optativa
706,122,Optativa
825,122,Optativa
959,122,Optativa
964,122,Optativa
737,122,Optativa
728,122,Optativa
951,122,Optativa
954,122,Optativa
744,122,Optativa
707,122,Optativa
989,122,Optativa
748,122,Optativa
708,122,Optativa
982,122,Optativa
983,122,Optativa
987,122,Optativa
990,122,Optativa
745,122,Optativa
709,122,Optativa
991,122,Optativa
749,122,Optativa
710,122,Optativa
747,122,Optativa
711,122,Optativa
810,122,Optativa
977,122,Optativa
712,122,Optativa
750,122,Optativa
735,122,Optativa
736,122,Optativa
751,122,Optativa
754,122,Optativa
988,122,Optativa
984,122,Optativa
721,122,Optativa
724,122,Optativa
606,122,Optativa
687,122,Optativa
273,122,Optativa
274,122,Optativa
821,122,Optativa
713,122,Optativa
985,122,Optativa
770,122,Optativa
567,122,Optativa
768,122,Optativa
433,122,Optativa
855,122,Optativa
815,122,Optativa
944,122,Optativa
759,122,Optativa
945,122,Optativa
946,122,Optativa
950,122,Optativa
576,122,Optativa
947,122,Optativa
948,122,Optativa
929,122,Optativa
277,122,Optativa
776,122,Optativa
760,122,Optativa
779,122,Optativa
941,122,Optativa
764,122,Optativa
777,122,Optativa
442,122,Optativa
943,122,Optativa
612,122,Optativa
937,122,Optativa
939,122,Optativa
765,122,Optativa
766,122,Optativa
767,122,Optativa
841,122,Optativa
842,122,Optativa
29,122,Optativa
780,122,Optativa
223,122,Optativa
363,122,Optativa
581,122,Optativa
54,122,Optativa
33,122,Optativa
31,122,Optativa
30,122,Optativa
32,122,Optativa
34,122,Optativa
53,122,Optativa
686,122,Optativa
580,122,Optativa
1115,127,Obligatoria
1116,127,Obligatoria
1117,127,Obligatoria
1118,127,Obligatoria
1119,127,Obligatoria
1215,127,Obligatoria
1216,127,Obligatoria
228,127,Obligatoria
1218,127,Obligatoria
1219,127,Obligatoria
1315,127,Obligatoria
302,127,Obligatoria
1317,127,Obligatoria
1318,127,Obligatoria
1319,127,Obligatoria
1415,127,Obligatoria
1416,127,Obligatoria
1417,127,Obligatoria
1418,127,Obligatoria
1419,127,Obligatoria
1515,127,Obligatoria
1516,127,Obligatoria
1819,127,Obligatoria
650,127,Obligatoria
1049,127,Optativa
1048,127,Optativa
1047,127,Optativa
932,127,Optativa
933,127,Optativa
934,127,Optativa
936,127,Optativa
1130,134,Obligatoria
1131,134,Obligatoria
1132,134,Obligatoria
1133,134,Obligatoria
1134,134,Obligatoria
1230,134,Obligatoria
1231,134,Obligatoria
1232,134,Obligatoria
1233,134,Obligatoria
228,134,Obligatoria
1234,134,Obligatoria
1330,134,Obligatoria
1331,134,Obligatoria
302,134,Obligatoria
1332,134,Obligatoria
1333,134,Obligatoria
1334,134,Obligatoria
1430,134,Obligatoria
1431,134,Obligatoria
1432,134,Obligatoria
419,134,Obligatoria
1434,134,Obligatoria
1435,134,Obligatoria
1528,134,Obligatoria
1529,134,Obligatoria
1530,134,Obligatoria
582,134,Obligatoria
1531,134,Obligatoria
584,134,Obligatoria
1630,134,Obligatoria
609,134,Obligatoria
1632,134,Obligatoria
1633,134,Obligatoria
1634,134,Obligatoria
1635,134,Obligatoria
1731,134,Obligatoria
1732,134,Obligatoria
717,134,Obligatoria
1733,134,Obligatoria
1830,134,Obligatoria
1831,134,Obligatoria
1734,134,Obligatoria
1735,134,Obligatoria
1736,134,Obligatoria
1737,134,Obligatoria
478,134,Optativa
491,134,Optativa
496,134,Optativa
734,134,Optativa
1049,134,Optativa
652,134,Optativa
653,134,Optativa
731,134,Optativa
719,134,Optativa
740,134,Optativa
741,134,Optativa
746,134,Optativa
739,134,Optativa
738,134,Optativa
729,134,Optativa
875,134,Optativa
730,134,Optativa
877,134,Optativa
1048,134,Optativa
1047,134,Optativa
932,134,Optativa
933,134,Optativa
934,134,Optativa
936,134,Optativa
845,134,Optativa
846,134,Optativa
848,134,Optativa
849,134,Optativa
850,134,Optativa
851,134,Optativa
853,134,Optativa
854,134,Optativa
852,134,Optativa
856,134,Optativa
857,134,Optativa
479,134,Optativa
651,134,Optativa
732,134,Optativa
733,134,Optativa
876,134,Optativa
847,134,Optativa
291,134,Optativa
7,136,Obligatoria
91,136,Obligatoria
244,136,Obligatoria
755,136,Obligatoria
756,136,Obligatoria
8,136,Obligatoria
92,136,Obligatoria
757,136,Obligatoria
245,136,Obligatoria
1237,136,Obligatoria
1236,136,Obligatoria
5,136,Obligatoria
93,136,Obligatoria
1337,136,Obligatoria
1335,136,Obligatoria
625,136,Obligatoria
758,136,Obligatoria
6,136,Obligatoria
94,136,Obligatoria
162,136,Obligatoria
1437,136,Obligatoria
1506,136,Obligatoria
626,136,Obligatoria
9,136,Obligatoria
1707,136,Obligatoria
1541,136,Obligatoria
898,136,Obligatoria
899,136,Obligatoria
840,136,Obligatoria
919,136,Obligatoria
1641,136,Obligatoria
630,136,Obligatoria
920,136,Obligatoria
165,136,Obligatoria
921,136,Obligatoria
1741,136,Obligatoria
922,136,Obligatoria
923,136,Obligatoria
1841,136,Obligatoria
924,136,Obligatoria
838,136,Optativa
926,136,Optativa
930,136,Optativa
1089,136,Optativa
275,136,Optativa
276,136,Optativa
1049,136,Optativa
881,136,Optativa
1048,136,Optativa
1047,136,Optativa
894,136,Optativa
895,136,Optativa
896,136,Optativa
946,136,Optativa
838,136,Optativa
657,136,Optativa
1532,136,Optativa
880,136,Optativa
1049,136,Optativa
1222,136,Optativa
1048,136,Optativa
1047,136,Optativa
1323,136,Optativa
926,136,Optativa
882,136,Optativa
895,136,Optativa
896,136,Optativa
873,136,Optativa
930,136,Optativa
931,136,Optativa
1089,136,Optativa
759,136,Optativa
1532,136,Optativa
1049,136,Optativa
1048,136,Optativa
1047,136,Optativa
1323,136,Optativa
632,136,Optativa
633,136,Optativa
621,136,Optativa
634,136,Optativa
975,136,Optativa
872,136,Optativa
864,136,Optativa
759,136,Optativa
946,136,Optativa
929,136,Optativa
442,136,Optativa
839,136,Optativa
880,136,Optativa
83,136,Optativa
1049,136,Optativa
183,136,Optativa
395,136,Optativa
1048,136,Optativa
1047,136,Optativa
895,136,Optativa
896,136,Optativa
927,136,Optativa
947,136,Optativa
879,136,Optativa
1815,136,Optativa
1049,136,Optativa
411,136,Optativa
1048,136,Optativa
1047,136,Optativa
861,136,Optativa
1639,136,Optativa
631,136,Optativa
897,136,Optativa
928,136,Optativa
25,136,Optativa
873,136,Optativa
947,136,Optativa
932,136,Optativa
933,136,Optativa
934,136,Optativa
936,136,Optativa
1100,201,Obligatoria
1101,201,Obligatoria
1102,201,Obligatoria
1103,201,Obligatoria
1104,201,Obligatoria
1200,201,Obligatoria
1201,201,Obligatoria
1202,201,Obligatoria
1203,201,Obligatoria
1204,201,Obligatoria
1300,201,Obligatoria
1402,201,Obligatoria
1301,201,Obligatoria
1302,201,Obligatoria
1304,201,Obligatoria
1400,201,Obligatoria
1401,201,Obligatoria
1403,201,Obligatoria
1303,201,Obligatoria
1501,201,Obligatoria
1500,201,Obligatoria
1502,201,Obligatoria
1404,201,Obligatoria
1405,201,Obligatoria
1503,201,Obligatoria
1600,201,Obligatoria
1602,201,Obligatoria
1603,201,Obligatoria
1601,201,Obligatoria
1700,201,Obligatoria
1800,201,Obligatoria
1000,201,Optativa
1093,201,Optativa
1001,201,Optativa
101,201,Optativa
1002,201,Optativa
1003,201,Optativa
232,201,Optativa
35,201,Optativa
182,201,Optativa
1004,201,Optativa
505,201,Optativa
1005,201,Optativa
187,201,Optativa
512,201,Optativa
1006,201,Optativa
1008,201,Optativa
1009,201,Optativa
1007,201,Optativa
79,201,Optativa
1010,201,Optativa
1012,201,Optativa
1013,201,Optativa
99,201,Optativa
91,201,Optativa
92,201,Optativa
93,201,Optativa
1014,201,Optativa
1049,201,Optativa
1015,201,Optativa
1016,201,Optativa
65,201,Optativa
1017,201,Optativa
188,201,Optativa
103,201,Optativa
1018,201,Optativa
1019,201,Optativa
121,201,Optativa
105,201,Optativa
1020,201,Optativa
110,201,Optativa
115,201,Optativa
189,201,Optativa
128,201,Optativa
1021,201,Optativa
1022,201,Optativa
1719,201,Optativa
1023,201,Optativa
190,201,Optativa
1090,201,Optativa
1024,201,Optativa
1025,201,Optativa
233,201,Optativa
2091,201,Optativa
106,201,Optativa
1026,201,Optativa
193,201,Optativa
191,201,Optativa
192,201,Optativa
107,201,Optativa
1027,201,Optativa
1028,201,Optativa
515,201,Optativa
1029,201,Optativa
1030,201,Optativa
1031,201,Optativa
569,201,Optativa
66,201,Optativa
1032,201,Optativa
1033,201,Optativa
1034,201,Optativa
1035,201,Optativa
1036,201,Optativa
194,201,Optativa
67,201,Optativa
195,201,Optativa
196,201,Optativa
129,201,Optativa
1037,201,Optativa
135,201,Optativa
136,201,Optativa
234,201,Optativa
197,201,Optativa
137,201,Optativa
1038,201,Optativa
198,201,Optativa
109,201,Optativa
199,201,Optativa
1048,201,Optativa
138,201,Optativa
1047,201,Optativa
68,201,Optativa
401,201,Optativa
235,201,Optativa
236,201,Optativa
139,201,Optativa
1039,201,Optativa
1040,201,Optativa
291,201,Optativa
1041,201,Optativa
70,201,Optativa
132,201,Optativa
932,201,Optativa
933,201,Optativa
934,201,Optativa
936,201,Optativa
1042,201,Optativa
1043,201,Optativa
69,201,Optativa
1092,201,Optativa
225,201,Optativa
226,201,Optativa
1091,201,Optativa
229,201,Optativa
680,201,Optativa
140,201,Optativa
133,201,Optativa
134,201,Optativa
257,201,Optativa
230,201,Optativa
795,201,Optativa
796,201,Optativa
797,201,Optativa
798,201,Optativa
1044,201,Optativa
567,201,Optativa
231,201,Optativa
516,201,Optativa
799,201,Optativa
831,201,Optativa
832,201,Optativa
834,201,Optativa
1011,201,Optativa
322,201,Optativa
326,201,Optativa
335,201,Optativa
141,201,Optativa
1045,201,Optativa
29,201,Optativa
780,201,Optativa
223,201,Optativa
363,201,Optativa
581,201,Optativa
54,201,Optativa
33,201,Optativa
31,201,Optativa
30,201,Optativa
32,201,Optativa
34,201,Optativa
53,201,Optativa
686,201,Optativa
580,201,Optativa
